sessionID,unit,hemisphere,rf,choice,coherence,coherenceMean,ddm,ddmRank,ddmRankMean,tChoice,choiceSelectionTime,leftIsIn,coeffIn_1,coeffIn_2,coeffOut_1,coeffOut_2
jp054n02,spikeUnit01,left,right,1,1,0,1,0,0,160,223,0,-74.6569366350626,100.833609966372,172.897237901716,-40.3273248306728
jp054n02,spikeUnit02,left,right,1,0,0,0,0,0,170,270,0,-21.9511577815109,120.420071088206,115.276214763744,27.0312047192671
jp054n02,spikeUnit03,left,right,1,0,0,0,1,0,240,294,0,-49.5719602900173,148.197938706229,-236.726486802141,194.202515953279
jp054n02,spikeUnit04,left,right,1,1,0,1,1,0,210,371,0,-588.649017937272,434.349955131409,49.9808108982599,57.3791374869509
jp054n02,spikeUnit05,left,right,1,0,0,0,1,0,190,430,0,-178.280545112794,146.345877042767,-126.46398858807,94.7980621140814
jp054n02,spikeUnit06,left,right,1,0,0,0,1,0,240,264,0,-72.235724134275,173.67029975219,-121.095626891163,158.405724441672
jp054n02,spikeUnit07,left,right,1,0,0,0,1,0,180,254,0,-39.3520990057267,152.356997932617,-59.2463425770736,130.913816893449
jp054n02,spikeUnit08,left,right,1,0,0,0,0,0,150,197,0,-103.575306174726,317.791193128277,20.395493937482,215.246053682534
jp054n02,spikeUnit09,left,left,1,0,1,0,1,1,180,217,1,-486.351807578715,462.491502810447,-179.542081851367,292.646848252419
jp054n02,spikeUnit10,left,left,1,1,1,1,1,1,210,202,1,-591.05003231357,391.229753540449,-76.7917181031196,145.632729614053
jp054n02,spikeUnit11,left,left,1,0,1,0,1,1,190,229,1,-264.451300837508,296.182425997401,-156.691498991491,232.331199387779
jp054n02,spikeUnit12,left,left,1,0,0,0,1,0,230,257,1,1.32435607845749,82.6418396071758,24.1494736439744,50.3872949615097
jp054n02,spikeUnit13,left,left,1,1,1,1,1,1,200,253,1,-262.967637137404,162.285088947051,-31.4572844364481,51.7538749551453
jp054n02,spikeUnit14,left,left,1,0,0,0,0,0,170,NaN,1,-108.068421260795,78.9618963266498,44.8518392225899,-4.24276250467581
jp054n02,spikeUnit15,left,left,1,0,1,0,1,1,220,231,1,-169.437403272228,93.5344944474165,-33.7448616927928,30.7530789076894
jp054n02,spikeUnit16,left,left,1,0,1,0,1,1,240,NaN,1,-44.1252116456297,46.4794484811939,-40.6085954280874,40.2063213625023
jp054n02,spikeUnit17,left,right,1,0,1,0,1,1,280,182,0,105.871349707035,14.3000257429437,235.464901604297,-40.5127189226219
jp054n02,spikeUnit18,left,right,1,0,1,0,1,1,150,177,0,42.7096279103301,85.9795289407348,148.838065766431,25.4890380011329
jp054n02,spikeUnit19,left,right,0,0,0,0,0,0,170,540,1,-10.9117593299209,119.759425415919,4.91538663388822,97.1892705476583
jp054n02,spikeUnit20,left,right,1,0,0,0,1,0,190,242,0,-69.5486449782041,167.575476140628,-118.14151703662,152.172253253146
jp054n02,spikeUnit21,left,right,1,0,0,0,0,0,200,231,0,-238.377968876139,255.885599166133,22.9711029669463,89.7894777748428
jp054n02,spikeUnit22,left,right,1,0,0,0,0,0,150,200,0,-170.833594445064,220.064372241263,46.1095818670588,81.0793855979089
jp054n02,spikeUnit23,left,right,0,0,1,0,0,0,230,711,1,-160.370634354952,92.7655024946536,-176.641066512101,128.571221562093
jp054n02,spikeUnit24,left,right,1,1,0,1,1,0,150,167,0,-60.6779587901416,170.178276705094,246.376115374141,-1.58256768013757
jp054n02,spikeUnit25,left,left,1,0,1,0,1,1,230,264,1,-108.488957753043,73.7366930937893,-31.6122616239465,36.9659769640493
jp054n02,spikeUnit26,left,left,1,1,1,1,1,1,230,245,1,-215.081018230643,122.927119373606,-17.832598147082,29.480059629342
jp054n02,spikeUnit27,left,left,1,1,1,1,1,1,230,255,1,-130.882072736148,102.148760006551,-137.748534512936,113.328647029544
jp054n02,spikeUnit28,left,right,0,0,0,0,0,0,250,427,0,-147.284949874161,123.768810130426,-326.804283832885,180.0658513723
jp054n02,spikeUnit29,left,right,1,1,1,1,1,1,190,266,0,71.3069935029987,11.6840496781087,264.253239689928,-78.0707360696553
jp054n02,spikeUnit30,left,right,1,0,1,0,1,1,150,190,0,103.339590728724,78.3050333526889,148.785536314752,23.3308285824598
jp054n02,spikeUnit31,left,right,1,0,1,0,1,1,170,210,0,19.5784140063616,113.863066569186,44.2648848508839,64.1554870282502
jp054n02,spikeUnit32,left,right,1,0,0,0,0,0,170,200,0,95.504980385497,105.28967970289,-297.627880824216,242.755039475211
jp060n02,spikeUnit01,left,right,1,0,1,0,1,1,180,233,0,33.420409105746,149.214004722835,147.913650841498,46.3138968491298
jp060n02,spikeUnit02,left,right,1,0,0,0,0,0,470,529,0,149.366557009869,19.7368236858683,-252.307692307699,190.584615384618
jp060n02,spikeUnit03,left,right,1,0,1,0,1,1,160,172,0,153.214339614821,97.6061913867714,184.381670194961,64.64344294365
jp060n02,spikeUnit04,left,right,1,0,0,0,0,0,170,206,0,-141.815103393442,239.690601196593,259.024239819087,20.7866453557086
jp060n02,spikeUnit05,left,right,1,0,0,0,0,0,150,162,0,-164.143135708233,195.854689290611,168.57172761552,-0.696587063213646
jp060n02,spikeUnit06,left,right,1,0,0,0,1,0,150,82,1,61.3315452971221,64.4373290700035,99.4700253163337,26.9224810894069
jp060n02,spikeUnit07,left,right,0,0,1,0,0,0,310,347,1,-206.85237561054,223.278112030901,-132.368904451256,196.343981607649
jp060n02,spikeUnit08,left,right,0,0,1,0,0,0,150,259,0,204.184137085393,16.9386761568891,221.598788435991,26.7532247109844
jp060n02,spikeUnit09,left,none,1,1,1,1,1,1,150,128,1,-90.0497715160539,102.258687332005,-131.726679969359,116.204544328892
jp060n02,spikeUnit10,left,left,1,0,0,0,0,0,150,70,1,-111.284441560392,92.8938491993251,33.2468633500963,10.1509433222805
jp060n02,spikeUnit11,left,none,1,1,1,1,1,1,150,51,1,-277.210173552733,273.378583351259,-37.2242149104603,123.372605631286
jp060n02,spikeUnit12,left,none,1,0,0,0,0,0,150,55,1,-213.21738364861,252.248906714957,26.1946413274884,82.1899814716345
jp060n02,spikeUnit13,left,none,1,0,1,0,1,1,150,57,1,-185.520173770637,216.678523623609,-10.0550681777754,83.187201101859
jp060n02,spikeUnit14,left,none,1,1,0,1,0,0,150,58,1,-292.892757961671,262.065782575078,39.4373855192101,48.8439252532563
jp060n02,spikeUnit15,left,right,1,1,0,1,1,0,150,52,1,-425.37623531935,305.49622122497,62.5675346919419,33.5713624824688
jp060n02,spikeUnit16,left,right,1,1,1,1,1,1,150,68,1,-355.260474621563,382.003637572806,-69.8990149203293,212.029767144484
jp060n02,spikeUnit17,left,left,1,0,1,0,1,1,150,81,1,-181.672872763418,148.266050825077,-11.8151840634527,45.3200485444059
jp060n02,spikeUnit18,left,left,1,0,1,0,1,1,150,166,1,-60.1329974292677,107.753836518364,-77.2474754606031,100.687055927305
jp060n02,spikeUnit19,left,right,1,0,0,0,0,0,150,124,1,47.4975613689805,167.830350798995,-39.1293407198784,186.304293643683
jp060n02,spikeUnit20,left,right,0,0,1,0,0,0,160,419,1,-228.499246298043,204.5291313004,-207.558497821462,222.735872695014
jp060n02,spikeUnit21,left,right,1,0,0,0,0,0,150,127,1,124.786150714393,48.8112480173386,-5.92668780411271,89.5027820932098
jp060n02,spikeUnit22,left,right,1,0,0,0,0,0,150,125,1,-42.4400743817559,74.9978714567754,63.4166981737252,-0.135254262001042
jp060n02,spikeUnit23,left,right,1,1,1,1,1,1,150,92,1,-225.555397923561,191.457968354122,-135.979111104922,148.057307425867
jp060n02,spikeUnit24,left,right,1,0,0,0,0,0,150,115,1,-52.6056835791828,199.495082189044,51.3412137858895,124.148517424651
jp060n02,spikeUnit25,left,none,1,0,1,0,1,1,150,80,1,-156.165930855315,234.402122180442,-28.8279298192189,139.878463684011
jp060n02,spikeUnit26,left,right,1,0,0,0,0,0,150,70,1,-86.7167534211538,128.361907819271,70.459413827786,26.5620714697782
jp060n02,spikeUnit27,left,none,1,0,1,0,1,1,150,65,1,-26.8121795012314,59.2147916700092,-10.0012118356675,36.5924069231591
jp060n02,spikeUnit28,left,none,1,0,1,0,1,1,150,75,1,-118.650760880454,171.719352929333,-38.4421570731431,113.833927991931
jp060n02,spikeUnit29,left,none,1,1,1,1,1,1,150,92,1,-264.306451024432,227.0981513107,-58.0785219113673,123.466042278757
jp060n02,spikeUnit30,left,none,1,0,1,0,1,1,150,178,1,-160.218125288095,224.744955621523,-139.243814549427,212.848522114064
jp060n02,spikeUnit31,left,none,1,0,1,0,1,1,150,22,1,-111.933385035249,110.164791391344,-17.5426545934582,47.2136213086186
jp060n02,spikeUnit32,left,left,1,0,1,0,1,1,150,792,1,-340.512820512817,284.041025641024,-255.057044865967,223.092321691051
jp061n02,spikeUnit01,left,right,1,0,0,0,0,0,150,147,0,7.68924670220605,108.22489823299,-97.2920385780395,94.4828839529884
jp061n02,spikeUnit02,left,right,0,0,0,0,0,0,290,307,1,-422.828555431591,361.308170435213,171.910385981895,94.5142062436895
jp061n02,spikeUnit03,left,right,1,0,0,0,0,0,300,341,1,-663.434910292916,480.362498022981,504.659762973605,-60.2313481128079
jp061n02,spikeUnit04,left,none,1,0,1,0,1,1,180,210,1,-240.968692203516,161.413445464149,-147.498337791597,123.689769049124
jp061n02,spikeUnit05,left,left,0,0,0,0,0,0,200,339,1,-201.166868396653,118.56652793074,122.703768933916,-40.4084138821443
jp061n02,spikeUnit06,left,right,1,0,0,0,0,0,310,359,1,19.8991596638651,-1.75865546218469,-26.6519066643955,32.8948466609525
jp061n02,spikeUnit07,left,right,1,1,1,1,1,1,150,333,1,-81.8847356351269,53.6104231951416,-345.812467004239,227.003512001902
jp061n02,spikeUnit08,left,left,0,0,0,0,0,0,360,506,1,17.1428571428565,4.97142857142885,75.2300920368156,-36.5426170468192
jp061n02,spikeUnit09,left,right,0,0,0,0,0,0,340,NaN,1,-13.8564998654985,7.08264523572998,4.59260848130395,-1.45485611759985
jp061n02,spikeUnit10,left,right,1,0,0,0,0,0,150,NaN,0,-10.0269985147993,15.7878722599079,17.5555767890257,0.767502752925834
jp061n02,spikeUnit11,left,left,0,0,0,0,0,0,440,NaN,0,-18.4288183101159,30.7755537383654,-94.2387937982929,64.65949789546
jp061n02,spikeUnit12,left,none,0,0,0,0,0,0,1050,NaN,1,-65.5113205416066,36.5341419157344,0.700924846352406,7.12804622796731
jp061n02,spikeUnit13,left,none,0,0,1,0,0,0,530,NaN,1,-15.2196553759945,10.178598798447,-13.2977548618379,11.2424124201396
jp061n02,spikeUnit14,left,none,1,1,0,1,1,0,250,248,1,112.305323248898,-41.2968712752548,83.1254986134543,-37.612628186797
jp061n02,spikeUnit15,left,right,0,0,0,0,0,0,650,NaN,0,-31.284932987847,43.8770690062049,17.6906444932145,17.1337047306646
jp061n02,spikeUnit16,left,none,0,0,1,0,0,0,300,370,1,-26.5247108623479,27.9558332079486,-182.173454176993,119.636907394537
jp061n02,spikeUnit17,left,none,0,0,1,0,0,0,270,334,0,449.757515504828,-27.8558271270063,375.321684546154,50.5336388735077
jp061n02,spikeUnit18,left,none,0,0,0,0,0,0,240,466,1,419.42857142857,-74.3657142857139,-41.4832599706555,133.625450180072
jp061n02,spikeUnit19,left,none,0,0,0,0,0,0,310,467,1,386.285714285731,-31.9771428571501,122.982526343872,60.1200480192066
jp061n02,spikeUnit20,left,none,0,0,0,0,0,0,290,440,1,386.285714285709,-111.977142857141,-19.6078431372522,60.588235294116
jp061n02,spikeUnit21,left,none,1,0,1,0,1,1,280,432,0,80.6989462451763,145.198079231686,129.142857142875,93.4514285714206
jp061n02,spikeUnit22,left,none,1,0,1,0,1,1,180,245,0,120.765415465129,-33.7851833429274,107.478029263914,-26.9235043928458
jp061n02,spikeUnit23,left,right,1,0,1,0,1,1,150,225,0,114.995955867731,-35.1322722493185,52.8186621712732,3.62765757609798
jp061n02,spikeUnit24,left,right,1,0,1,0,1,1,150,177,0,142.226672997956,-17.4121571089156,154.802992619472,-33.1913662976062
jp061n02,spikeUnit25,left,right,0,0,0,0,0,0,320,NaN,0,-35.6637308659921,75.6161558249487,-70.9677122046045,84.6949949820363
jp061n02,spikeUnit26,left,none,0,0,0,0,0,0,310,NaN,1,-75.8161240998716,58.056096456943,65.6760133452699,-10.8623470723928
jp061n02,spikeUnit27,left,right,0,0,0,0,0,0,260,284,1,-40.5565629260205,89.0135185227726,165.233825183023,-35.2374634568846
jp061n02,spikeUnit28,left,left,0,0,1,0,0,0,260,268,1,-261.851563813995,175.444384349029,-85.6757089825701,105.875077302246
jp061n02,spikeUnit29,left,right,0,0,0,0,0,0,240,277,0,-285.107337725153,214.872722143298,-88.8052193101551,94.4829698666849
jp061n02,spikeUnit30,left,none,0,0,1,0,0,0,270,301,1,-239.734798645837,190.39041655655,-230.825323038009,222.977254764551
jp061n02,spikeUnit31,left,none,0,0,0,0,0,0,190,305,0,-59.5604262108396,179.041380373782,-56.5545736040037,151.65997926725
jp061n02,spikeUnit32,left,none,1,0,1,0,1,1,260,305,0,49.9813300206372,26.6590009439517,50.975014891472,24.3731594271792
jp083n02,spikeUnit01,left,none,1,0,0,0,0,0,150,309,1,-117.925159612153,65.4028220546671,0.149571281238742,14.4508865600893
jp083n02,spikeUnit02,left,none,0,0,0,0,0,0,410,765,1,82.2341638169698,-19.0278456277487,170.565302144248,-84.6003898635471
jp083n02,spikeUnit03,left,right,1,0,0,0,0,0,170,289,1,72.3992102932276,-14.9718518147825,-50.4598988896745,45.6043705677501
jp083n02,spikeUnit04,left,right,1,0,1,0,1,1,200,221,0,57.780931035408,-19.2766931774012,12.0371211221603,5.45362402988689
jp083n02,spikeUnit05,left,right,1,0,0,0,0,0,170,237,0,-47.1158090442384,131.983325149675,161.515836705948,16.264973490422
jp083n02,spikeUnit06,left,right,1,0,1,0,1,1,150,241,0,44.984363223784,77.2011754307891,76.759223051393,45.455060161577
jp083n02,spikeUnit07,left,right,1,0,1,0,1,1,150,176,0,224.279537946965,-7.67616351001734,118.142817801216,43.2743945132285
jp083n02,spikeUnit08,left,right,1,0,1,0,1,1,150,170,0,74.0532172418928,26.6961833701358,51.1435875095376,27.8871085732061
jp083n02,spikeUnit09,left,left,1,0,0,0,0,0,160,193,1,8.66028915490901,54.1408631132161,-89.284871773683,84.4853845460697
jp083n02,spikeUnit10,left,left,1,0,0,0,0,0,170,207,1,8.25124649676273,49.7405463402415,-23.7733335226243,37.0988045460652
jp083n02,spikeUnit11,left,left,1,0,0,0,0,0,190,216,1,-12.9532768593552,37.9923435206576,27.0972520478468,-0.260051718043341
jp083n02,spikeUnit12,left,right,1,0,0,0,0,0,240,NaN,1,-15.5268689156933,10.2009054274494,14.0338522712493,-5.85139729485808
jp083n02,spikeUnit13,left,left,0,1,0,0,0,0,210,NaN,1,78.8784032645148,-22.6000013417114,-25.553082908879,22.8379887609048
jp083n02,spikeUnit14,left,right,0,0,0,0,0,0,240,543,1,115.732663363344,-29.6077884011453,157.77290448343,-78.8803606237811
jp083n02,spikeUnit15,left,right,0,0,0,0,0,0,430,NaN,1,48.7752428039151,16.4721977754031,-6.70856690291496,37.8432674153674
jp083n02,spikeUnit16,left,left,0,0,1,0,0,0,170,406,1,-67.8058684586153,65.9711817872702,-66.6009551901781,68.2123857930043
jp083n02,spikeUnit17,left,right,1,0,1,0,1,1,190,231,0,38.3947738394317,-4.20056817172573,5.64476773772181,10.1290615985426
jp083n02,spikeUnit18,left,right,0,0,0,0,0,0,230,545,1,22.5649614999875,12.3176774373651,70.6627680311869,-12.5487329434686
jp083n02,spikeUnit19,left,right,0,0,0,0,0,0,170,463,1,-14.8882220206116,26.9244190103988,3.654970760232,26.9371345029251
jp083n02,spikeUnit20,left,right,1,0,1,0,1,1,230,375,1,-135.823475113322,65.5527765714689,-126.158759191676,87.253057789583
jp083n02,spikeUnit21,left,right,0,0,0,0,0,0,280,886,1,231.930583664829,-53.8069648963643,7.9191033138442,41.6971247563329
jp083n02,spikeUnit22,left,right,0,1,1,0,0,0,340,383,0,413.093575049405,-165.298903154805,187.241059236842,2.37698341664032
jp083n02,spikeUnit23,left,right,1,0,0,0,1,0,200,365,1,80.4739206221453,-11.1401871061233,45.0528613586241,6.33035099925933
jp083n02,spikeUnit24,left,right,1,0,0,0,1,0,160,276,0,-13.3788540417366,38.1795817572582,-18.319975705688,33.1189770081797
jp083n02,spikeUnit25,left,right,1,0,0,0,0,0,190,336,0,71.1919334978486,56.965253406733,-158.496448565899,153.272775291208
jp083n02,spikeUnit26,left,right,1,0,1,0,1,1,210,246,0,62.9932438067145,55.1946363333923,161.767593929845,15.0545940708942
jp083n02,spikeUnit27,left,right,0,0,0,0,0,0,230,262,0,-169.408630039385,146.169065253511,70.3577876757126,16.887749963935
jp083n02,spikeUnit28,left,left,0,0,0,0,0,0,450,NaN,1,-1.27031810009246,2.67607609939568,8.0327373777238,-2.90105487339993
jp083n02,spikeUnit29,left,none,0,0,0,0,0,0,280,130,1,22.2978793980909,-6.9954551550726,43.0702017271282,-22.9723304671871
jp083n02,spikeUnit30,left,right,1,1,1,1,1,1,230,108,0,79.9712474749921,-36.1670921375303,84.0505110333106,-26.4470040709024
jp083n02,spikeUnit31,left,right,1,0,0,0,0,0,630,340,1,63.9811442097102,-10.5584986425605,-145.346891155096,103.549064849773
jp083n02,spikeUnit32,left,right,1,0,1,0,1,1,170,182,0,48.8955873292159,3.70371800578548,15.2444656586089,14.0342315587295
jp090n02,spikeUnit01,left,right,1,1,1,1,1,1,150,146,0,201.834945696442,-11.2695467375212,155.997110559715,-1.66749717366427
jp090n02,spikeUnit02,left,right,1,0,0,0,0,0,150,186,0,11.9546483893889,60.620186976098,-37.1349199059651,54.5256315306706
jp090n02,spikeUnit03,left,right,1,0,0,0,1,0,150,155,0,-57.6161462913086,133.271956678538,-100.239181769142,116.739123048891
jp090n02,spikeUnit04,left,right,0,0,0,0,0,0,150,245,0,155.52125346479,-19.3712758718003,-127.137287029871,115.479495698875
jp090n02,spikeUnit05,left,left,0,0,1,0,0,0,190,226,1,-96.8517319636115,59.6444763096062,-40.9513454363475,40.5381047380684
jp090n02,spikeUnit06,left,right,1,0,0,0,0,0,200,334,1,-50.1418536555763,35.1622593418597,33.9424720742226,3.1361516373731
jp090n02,spikeUnit07,left,none,0,0,0,0,0,0,330,352,1,38.3839303324078,-8.61135132674888,-10.4566050888816,11.0142906936218
jp090n02,spikeUnit08,left,right,0,0,0,0,0,0,200,270,1,-37.0184940755239,30.0441491056393,81.9930621255102,-30.8104698833164
jp090n02,spikeUnit09,left,left,1,0,1,0,1,1,150,175,1,-36.0949429221402,96.9743810291803,-87.1436855489176,113.319238880959
jp090n02,spikeUnit10,left,left,1,0,0,0,0,0,180,218,1,-160.786898450001,145.437026513529,186.653494512513,-59.9028680114386
jp090n02,spikeUnit11,left,right,0,0,1,0,0,0,150,220,1,-98.2066859739017,84.7030268210158,-47.6352239794784,71.7300256410811
jp090n02,spikeUnit12,left,right,1,0,1,0,1,1,150,151,0,73.8035541563045,77.8740299749194,18.9509951957404,72.5801142691671
jp090n02,spikeUnit13,left,right,0,1,0,0,0,0,200,218,1,-372.942771804988,233.569362729242,76.7016913873663,31.3345194989885
jp090n02,spikeUnit14,left,right,1,1,1,1,1,1,150,138,0,274.40255365853,-74.8137297104938,82.7620388698871,7.08711919683335
jp090n02,spikeUnit15,left,right,1,1,1,1,1,1,150,126,0,202.248307187684,-28.8781790666825,111.460226554321,-12.5559819709404
jp090n02,spikeUnit16,left,right,1,1,1,1,1,1,150,118,0,251.543546162725,-49.1069959309259,163.62902407964,-25.7507634388641
jp090n02,spikeUnit17,left,left,1,0,0,0,0,0,150,NaN,0,-12.0191688715966,37.0757078902243,30.4284552581427,14.0997339605568
jp090n02,spikeUnit18,left,right,0,1,0,0,0,0,240,271,1,95.4288228422308,9.02553365800385,-291.042174973852,223.231090972461
jp090n02,spikeUnit19,left,right,1,0,0,0,0,0,150,172,0,54.3052138817789,131.879353518729,-25.8547282945657,152.982815930073
jp090n02,spikeUnit20,left,right,1,0,0,0,0,0,150,175,0,-65.3260008969118,99.3339942248265,112.571376180311,-7.59060743693726
jp090n02,spikeUnit21,left,left,0,0,1,0,0,0,220,198,1,-62.1447021934854,65.1687806216785,-33.3330466354379,47.4663269531703
jp090n02,spikeUnit22,left,left,1,0,0,0,0,0,150,148,1,-156.874290465285,217.261828339893,69.6335615789367,61.4700983155694
jp090n02,spikeUnit23,left,right,1,0,1,0,1,1,150,141,0,29.5823667861284,19.3199027036957,51.2367795329671,3.32419844309423
jp090n02,spikeUnit24,left,right,1,0,1,0,1,1,150,165,0,59.7308659301182,22.7806642561571,58.7405409938256,6.40127076476695
jp090n02,spikeUnit25,left,right,1,1,1,1,1,1,150,129,0,262.177679119705,-15.9362947086812,147.25007084844,-9.45153866974513
jp090n02,spikeUnit26,left,right,1,0,1,0,1,1,150,122,0,198.974238685863,31.8018582639983,137.231832540404,5.00566638465392
jp090n02,spikeUnit27,left,right,1,0,1,0,1,1,150,127,0,118.135348660376,22.4476616946244,65.2194059785398,22.0892330865114
jp090n02,spikeUnit28,left,right,1,0,0,0,0,0,150,146,0,44.3215602201767,12.4791390487903,-14.6005797600572,26.9309008401724
jp090n02,spikeUnit29,left,right,1,0,0,0,0,0,150,148,0,-5.02382317471268,52.0040581622841,26.5708691125303,7.9622354491395
jp090n02,spikeUnit30,left,right,1,0,0,0,0,0,150,129,0,-50.0766191779356,91.0117415008511,24.9021151870563,29.1835866032196
jp090n02,spikeUnit31,left,right,1,0,1,0,1,1,150,71,0,42.9054680790962,25.6292053021815,24.3453736026713,30.2867960034137
jp090n02,spikeUnit32,left,right,0,0,1,0,0,0,160,338,1,-38.1563576229274,45.5168176232307,-3.65151288818329,26.0684824644408
jp098n02,spikeUnit01,left,right,0,1,0,0,0,0,350,161,1,426.559856438598,-55.1144807661784,627.442148406895,-235.016232141092
jp098n02,spikeUnit02,left,right,0,1,0,0,0,0,360,230,1,308.001805599776,7.12328572574737,350.223591310399,-63.50485336655
jp098n02,spikeUnit03,left,right,0,1,0,0,0,0,170,359,1,110.250762274511,88.1503715291966,563.648968052541,-188.624754275608
jp098n02,spikeUnit04,left,right,1,1,0,1,1,0,210,265,0,259.795314655356,-77.8956429806513,-69.7359859337019,88.0679718318902
jp098n02,spikeUnit05,left,none,1,0,1,0,1,1,170,220,0,69.3390141172014,-28.180113255132,53.2311144921402,-17.0064725905715
jp098n02,spikeUnit06,left,right,1,0,0,0,1,0,190,265,0,-95.0476790280222,69.0425644801118,30.4221151294797,-6.95604522968541
jp098n02,spikeUnit07,left,right,1,1,1,1,1,1,180,223,0,1.92198779813962,32.5034648535698,172.032356255391,-50.7140707334492
jp098n02,spikeUnit08,left,none,1,1,1,1,1,1,400,233,0,194.281348534456,-72.1455674336817,359.902657024847,-112.582942176245
jp098n02,spikeUnit09,left,left,1,0,1,0,1,1,210,245,1,-84.8519486212793,94.3450928649956,-53.2258552053917,68.5178675074792
jp098n02,spikeUnit10,left,left,1,0,0,0,0,0,180,228,1,-112.969358849668,72.3858509894986,33.2764676070679,-5.36987275527943
jp098n02,spikeUnit11,left,left,1,0,1,0,1,1,170,246,1,-54.9257371616421,51.0073628638375,-15.1288836294624,22.1485839220417
jp098n02,spikeUnit12,left,left,1,0,1,0,1,1,150,160,1,-48.0266291983074,58.5305863330183,-56.3124756225098,57.3248023484667
jp098n02,spikeUnit13,left,left,1,0,1,0,1,1,200,257,1,-117.105659834207,82.1349765520595,-51.0504825027727,46.8347581959202
jp098n02,spikeUnit14,left,left,0,0,0,0,0,0,150,248,1,-11.1303861627599,27.3553342417867,9.44626771028842,10.1386219902367
jp098n02,spikeUnit15,left,left,1,0,1,0,1,1,150,197,1,-10.5161857223554,19.1621518835929,-26.6299128316382,24.1233962614325
jp098n02,spikeUnit16,left,left,1,0,0,0,1,0,150,NaN,1,21.8809824662475,14.0046340464036,15.8046139731353,9.27126797595909
jp098n02,spikeUnit17,left,right,1,0,0,0,0,0,320,393,0,83.8966254409419,1.25600783829223,-9.71317953152274,48.4886253550632
jp098n02,spikeUnit18,left,right,1,1,1,1,1,1,220,231,0,173.625101716769,-61.5927622352826,119.521127601303,-22.715417327968
jp098n02,spikeUnit19,left,right,1,0,1,0,1,1,210,235,0,65.8293152983574,17.1041157945088,5.65947101038295,33.8396883982846
jp098n02,spikeUnit20,left,right,0,1,0,0,0,0,230,137,1,220.198885259019,-67.3198368650682,278.238939633269,-132.207228245185
jp098n02,spikeUnit21,left,right,1,1,1,1,1,1,280,285,0,27.3558355967512,11.6947559033344,316.416732214911,-106.512323928923
jp098n02,spikeUnit22,left,right,1,0,1,0,1,1,150,178,0,33.6098408482789,27.0934696448359,33.6300084357216,15.0764264267304
jp098n02,spikeUnit23,left,right,1,0,1,0,1,1,160,173,0,126.455903562733,-6.69835522979182,11.1942608905177,50.8516977138577
jp098n02,spikeUnit24,left,right,0,0,0,0,0,0,480,790,1,81.0342228252648,-11.5181667420462,104.265467991807,-31.4858344674006
jp098n02,spikeUnit25,left,none,1,1,0,1,1,0,150,27,1,174.993248192464,-49.2704587075244,136.603631775245,-58.1502447780723
jp098n02,spikeUnit26,left,none,0,0,0,0,0,0,150,NaN,1,-79.6178177317791,70.7407342911687,49.9539642920916,1.84068382397125
jp098n02,spikeUnit27,left,left,0,0,1,0,0,0,220,241,1,-26.6386402917152,33.2932329047353,-62.9792354559009,53.7778914319145
jp098n02,spikeUnit28,left,none,1,0,0,0,1,0,150,203,1,60.9594676034302,-7.5230158790538,51.263298622756,-22.8012676145111
jp098n02,spikeUnit29,left,none,1,0,1,0,1,1,150,112,1,-69.6702731833051,65.747975101137,-44.7937120253323,49.4614161610506
jp098n02,spikeUnit30,left,right,1,1,0,1,1,0,290,246,1,86.4872945330794,-23.9636072197327,94.8745809182956,-42.3166254619462
jp098n02,spikeUnit31,left,right,1,1,1,1,1,1,170,153,0,151.00155197331,-51.6853341756017,89.3232282343397,-7.66366586223595
