Session,Hemisphere,Neuron,LFP,EEG
jp012n04,none,0,0,0
jp013n01,none,0,0,0
jp013n04,none,0,0,0
jp014n01,none,0,0,0
jp014n04,none,0,0,0
jp015n01,none,0,0,0
jp015n03,none,0,0,0
jp016n02,none,0,0,0
jp016n06,none,0,0,0
jp017n01,none,0,0,0
jp017n02,none,0,0,0
jp017n03,none,0,0,0
jp018n01,none,0,0,0
jp018n02,none,0,0,0
jp019n01,none,0,0,0
jp019n02,none,0,0,0
jp020n01,none,0,0,0
jp020n02,none,0,0,0
jp021n01,none,0,0,0
jp021n02,none,0,0,0
jp022n01,none,0,0,0
jp023n01,none,0,0,0
jp024n01,none,0,0,0
jp025n01,none,0,0,0
jp026n01,none,0,0,0
jp026n02,none,0,0,0
jp027n01,none,0,0,0
jp029n01,none,0,0,0
jp030n01,none,0,0,0
jp031n02,none,0,0,0
jp032n01,none,0,0,0
jp032n03,none,0,0,0
jp033n01,none,0,0,0
jp033n02,none,0,0,0
jp034n01,none,0,0,0
jp034n02,none,0,0,0
jp035n01,none,0,0,0
jp036n01,none,0,0,0
jp036n02,none,0,0,0
jp037n01,none,0,0,0
jp037n02,none,0,0,0
jp038n02,none,0,0,0
jp038n03,none,0,0,0
jp039n01,none,0,0,0
jp041n01,none,0,0,0
jp041n02,none,0,0,0
jp042n01,none,0,0,0
jp042n02,none,0,0,0
jp043n01,none,0,0,0
jp043n02,none,0,0,0
jp044n01,none,0,0,0
jp044n03,none,0,0,0
jp045n01,none,0,0,0
jp045n03,none,0,0,0
jp046n01,none,0,0,0
jp047n02,none,0,0,0
jp048n01,none,0,0,0
jp049n01,none,0,0,0
jp050n02,none,0,0,0
jp051n01,none,0,0,0
jp052n01,none,0,0,0
jp053n02,none,0,0,0
jp054n02,left,1,1,0
jp055n02,none,0,0,0
jp056n02,none,0,0,0
jp057n02,none,0,0,0
jp057n03,none,0,0,0
jp058n02,none,0,0,0
jp059n02,none,0,0,0
jp059n03,none,0,0,0
jp060n02,left,1,1,0
jp061n02,left,1,1,0
jp062n02,none,0,0,0
jp063n01,none,0,0,0
jp064n02,none,0,0,0
jp065n02,none,0,0,0
jp066n01,none,0,0,0
jp067n02,none,0,0,0
jp068n02,none,0,0,0
jp069n01,none,0,0,0
jp070n02,none,0,0,0
jp071n02,none,0,0,0
jp072n02,none,0,0,0
jp076n02,none,0,0,0
jp076n03,none,0,0,0
jp077n02,none,0,0,0
jp077n03,none,0,0,0
jp078n01,none,0,0,0
jp079n02,none,0,0,0
jp080n01,none,0,0,0
jp081n01,none,0,0,0
jp082n01,none,0,0,0
jp083n02,left,1,1,0
jp084n01,none,0,0,0
jp085n01,none,0,0,0
jp086n01,none,0,0,0
jp088n01,none,0,0,0
jp089n01,none,0,0,0
jp090n02,left,1,1,0
jp091n01,none,0,0,0
jp092n01,none,0,0,0
jp093n02,none,0,0,0
jp094n01,none,0,0,0
jp095n01,none,0,0,0
jp096n01,none,0,0,0
jp097n01,none,0,0,0
jp098n02,left,1,1,0
jp099n02,none,0,0,0
jp100n01,none,0,0,0
jp101n02,none,0,0,0
jp102n02,none,0,0,0
jp103n02,none,0,0,0
jp104n02,left,1,1,0
jp105n02,none,0,0,0
jp106n02,left,1,1,0
jp107n02,left,1,1,0
jp108n02,none,0,0,0
jp109n02,none,0,0,0
jp110n02,left,1,1,0
jp111n02,left,1,1,0
jp112n02,none,0,0,0
jp113n02,left,1,1,0
jp114n04,left,1,1,0
jp115n02,none,0,0,0
jp116n02,none,0,0,0
jp117n02,none,0,0,0
jp118n02,none,0,0,0
jp119n02,left,1,1,0
jp120n02,none,0,0,0
jp121n02,left,1,1,0
jp122n02,none,0,0,0
jp123n02,left,1,1,0
jp124n04,left,1,1,0
jp125n04,left,1,1,0